studentenrollmentbyell2008-2021
District,FIPS,Year,Learner,Variable,Type,Value
Middletown School District,900747360,2017-2018,Non-English Language Learner,Student Enrollment,Number,4415
Middletown School District,900747360,2017-2018,English Language Learner,Student Enrollment,Number,173
Middletown School District,900747360,2018-2019,Non-English Language Learner,Student Enrollment,Number,4460
Middletown School District,900747360,2018-2019,English Language Learner,Student Enrollment,Number,180
Middletown School District,900747360,2019-2020,Non-English Language Learner,Student Enrollment,Number,4441
Middletown School District,900747360,2019-2020,English Language Learner,Student Enrollment,Number,179
Middletown School District,900747360,2020-2021,Non-English Language Learner,Student Enrollment,Number,4253
Middletown School District,900747360,2020-2021,English Language Learner,Student Enrollment,Number,156
Milford School District,900947535,2007-2008,Non-English Language Learner,Student Enrollment,Number,7217
Milford School District,900947535,2007-2008,English Language Learner,Student Enrollment,Number,183
Milford School District,900947535,2008-2009,Non-English Language Learner,Student Enrollment,Number,7161
Milford School District,900947535,2008-2009,English Language Learner,Student Enrollment,Number,165
Milford School District,900947535,2009-2010,Non-English Language Learner,Student Enrollment,Number,7024
Milford School District,900947535,2009-2010,English Language Learner,Student Enrollment,Number,123
Milford School District,900947535,2010-2011,Non-English Language Learner,Student Enrollment,Number,6871
Milford School District,900947535,2010-2011,English Language Learner,Student Enrollment,Number,117
Milford School District,900947535,2011-2012,Non-English Language Learner,Student Enrollment,Number,6733
Milford School District,900947535,2011-2012,English Language Learner,Student Enrollment,Number,103
Milford School District,900947535,2012-2013,Non-English Language Learner,Student Enrollment,Number,6551
Milford School District,900947535,2012-2013,English Language Learner,Student Enrollment,Number,119
Milford School District,900947535,2013-2014,Non-English Language Learner,Student Enrollment,Number,6311
Milford School District,900947535,2013-2014,English Language Learner,Student Enrollment,Number,123
Milford School District,900947535,2014-2015,Non-English Language Learner,Student Enrollment,Number,6125
Milford School District,900947535,2014-2015,English Language Learner,Student Enrollment,Number,153
Milford School District,900947535,2015-2016,Non-English Language Learner,Student Enrollment,Number,5997
Milford School District,900947535,2015-2016,English Language Learner,Student Enrollment,Number,155
Milford School District,900947535,2016-2017,Non-English Language Learner,Student Enrollment,Number,5774
Milford School District,900947535,2016-2017,English Language Learner,Student Enrollment,Number,152
Milford School District,900947535,2017-2018,Non-English Language Learner,Student Enrollment,Number,5644
Milford School District,900947535,2017-2018,English Language Learner,Student Enrollment,Number,148
Milford School District,900947535,2018-2019,Non-English Language Learner,Student Enrollment,Number,5473
Milford School District,900947535,2018-2019,English Language Learner,Student Enrollment,Number,162
Milford School District,900947535,2019-2020,Non-English Language Learner,Student Enrollment,Number,5464
Milford School District,900947535,2019-2020,English Language Learner,Student Enrollment,Number,157
Milford School District,900947535,2020-2021,Non-English Language Learner,Student Enrollment,Number,5305
Milford School District,900947535,2020-2021,English Language Learner,Student Enrollment,Number,128
Monroe School District,900148620,2007-2008,Non-English Language Learner,Student Enrollment,Number,4215
Monroe School District,900148620,2007-2008,English Language Learner,Student Enrollment,Number,11
Monroe School District,900148620,2008-2009,Non-English Language Learner,Student Enrollment,Number,4030
Monroe School District,900148620,2008-2009,English Language Learner,Student Enrollment,Number,20
Monroe School District,900148620,2009-2010,Non-English Language Learner,Student Enrollment,Number,3880
Monroe School District,900148620,2009-2010,English Language Learner,Student Enrollment,Number,19
Monroe School District,900148620,2010-2011,Non-English Language Learner,Student Enrollment,Number,3735
Monroe School District,900148620,2010-2011,English Language Learner,Student Enrollment,Number,26
Monroe School District,900148620,2011-2012,Non-English Language Learner,Student Enrollment,Number,3576
Monroe School District,900148620,2011-2012,English Language Learner,Student Enrollment,Number,13
Monroe School District,900148620,2012-2013,Non-English Language Learner,Student Enrollment,Number,3470
Monroe School District,900148620,2012-2013,English Language Learner,Student Enrollment,Number,18
Monroe School District,900148620,2013-2014,Non-English Language Learner,Student Enrollment,Number,3364
Monroe School District,900148620,2013-2014,English Language Learner,Student Enrollment,Number,15
Monroe School District,900148620,2014-2015,Non-English Language Learner,Student Enrollment,Number,3285
Monroe School District,900148620,2014-2015,English Language Learner,Student Enrollment,Number,14
Monroe School District,900148620,2015-2016,Non-English Language Learner,Student Enrollment,Number,3169
Monroe School District,900148620,2015-2016,English Language Learner,Student Enrollment,Number,11
Monroe School District,900148620,2016-2017,Non-English Language Learner,Student Enrollment,Number,3177
Monroe School District,900148620,2016-2017,English Language Learner,Student Enrollment,Number,12
Monroe School District,900148620,2017-2018,Non-English Language Learner,Student Enrollment,Number,3122
Monroe School District,900148620,2017-2018,English Language Learner,Student Enrollment,Number,27
Monroe School District,900148620,2018-2019,Non-English Language Learner,Student Enrollment,Number,3089
Monroe School District,900148620,2018-2019,English Language Learner,Student Enrollment,Number,29
Monroe School District,900148620,2019-2020,Non-English Language Learner,Student Enrollment,Number,3103
Monroe School District,900148620,2019-2020,English Language Learner,Student Enrollment,Number,33
Monroe School District,900148620,2020-2021,Non-English Language Learner,Student Enrollment,Number,3144
Monroe School District,900148620,2020-2021,English Language Learner,Student Enrollment,Number,35
Montville School District,901148900,2007-2008,Non-English Language Learner,Student Enrollment,Number,2758
Montville School District,901148900,2007-2008,English Language Learner,Student Enrollment,Number,113
Montville School District,901148900,2008-2009,Non-English Language Learner,Student Enrollment,Number,2675
Montville School District,901148900,2008-2009,English Language Learner,Student Enrollment,Number,109
Montville School District,901148900,2009-2010,Non-English Language Learner,Student Enrollment,Number,2596
Montville School District,901148900,2009-2010,English Language Learner,Student Enrollment,Number,102
Montville School District,901148900,2010-2011,Non-English Language Learner,Student Enrollment,Number,2567
Montville School District,901148900,2010-2011,English Language Learner,Student Enrollment,Number,103
Montville School District,901148900,2011-2012,Non-English Language Learner,Student Enrollment,Number,2474
Montville School District,901148900,2011-2012,English Language Learner,Student Enrollment,Number,101
Montville School District,901148900,2012-2013,Non-English Language Learner,Student Enrollment,Number,2369
Montville School District,901148900,2012-2013,English Language Learner,Student Enrollment,Number,86
Montville School District,901148900,2013-2014,Non-English Language Learner,Student Enrollment,Number,2331
Montville School District,901148900,2013-2014,English Language Learner,Student Enrollment,Number,87
Montville School District,901148900,2014-2015,Non-English Language Learner,Student Enrollment,Number,2262
Montville School District,901148900,2014-2015,English Language Learner,Student Enrollment,Number,94
Montville School District,901148900,2015-2016,Non-English Language Learner,Student Enrollment,Number,2178
Montville School District,901148900,2015-2016,English Language Learner,Student Enrollment,Number,78
Montville School District,901148900,2016-2017,Non-English Language Learner,Student Enrollment,Number,2127
Montville School District,901148900,2016-2017,English Language Learner,Student Enrollment,Number,83
Montville School District,901148900,2017-2018,Non-English Language Learner,Student Enrollment,Number,2097
Montville School District,901148900,2017-2018,English Language Learner,Student Enrollment,Number,83
Montville School District,901148900,2018-2019,Non-English Language Learner,Student Enrollment,Number,1993
Montville School District,901148900,2018-2019,English Language Learner,Student Enrollment,Number,84
Montville School District,901148900,2019-2020,Non-English Language Learner,Student Enrollment,Number,1969
Montville School District,901148900,2019-2020,English Language Learner,Student Enrollment,Number,95
Montville School District,901148900,2020-2021,Non-English Language Learner,Student Enrollment,Number,1873
